Время сбора данных;Давление;Время между
10:36:30;85,9598;0
10:36:31;85,9624;0,00028
10:36:32;85,9607;0,00000
10:36:33;85,9682;0,00028
10:36:34;85,969;0,00056
10:36:35;85,9704;0,00083
10:36:36;85,9746;0,00111
10:36:37;85,9736;0,00139
10:36:38;85,9828;0,00167
10:36:39;85,9821;0,00194
10:36:40;85,986;0,00222
10:36:41;85,989;0,00250
10:36:42;85,9958;0,00278
10:36:43;85,999;0,00306
10:36:44;86,0018;0,00333
10:36:45;86,0064;0,00361
10:36:46;86,013;0,00389
10:36:47;86,0133;0,00417
10:36:48;86,0195;0,00444
10:36:49;86,0251;0,00472
10:36:50;86,0282;0,00500
10:36:51;86,0318;0,00528
10:36:52;86,033;0,00556
10:36:53;86,0365;0,00583
10:36:54;86,0405;0,00611
10:36:55;86,0431;0,00639
10:36:56;86,045;0,00667
10:36:57;86,0495;0,00694
10:36:58;86,0523;0,00722
10:36:59;86,0549;0,00750
10:37:00;86,0571;0,00778
10:37:01;86,0612;0,00806
10:37:02;86,0627;0,00833
10:37:03;86,0619;0,00861
10:37:04;86,0607;0,00889
10:37:05;86,0598;0,00917
10:37:06;86,0599;0,00944
10:37:07;86,0587;0,00972
10:37:08;86,058;0,01000
10:37:09;86,0565;0,01028
10:37:10;86,0546;0,01056
10:37:11;86,056;0,01083
10:37:12;86,0517;0,01111
10:37:13;86,0528;0,01139
10:37:14;86,0526;0,01167
10:37:15;86,056;0,01194
10:37:16;86,0581;0,01222
10:37:17;86,0573;0,01250
10:37:18;86,0597;0,01278
10:37:19;86,0631;0,01306
10:37:20;86,065;0,01333
10:37:21;86,0679;0,01361
10:37:22;86,0696;0,01389
10:37:23;86,0701;0,01417
10:37:24;86,0722;0,01444
10:37:25;86,0746;0,01472
10:37:26;86,0776;0,01500
10:37:27;86,0792;0,01528
10:37:28;86,0799;0,01556
10:37:29;86,0842;0,01583
10:37:30;86,0841;0,01611
10:37:31;86,0821;0,01639
10:37:32;86,0873;0,01667
10:37:33;86,0947;0,01694
10:37:34;86,0963;0,01722
10:37:35;86,0939;0,01750
10:37:36;86,0971;0,01778
10:37:37;86,1029;0,01806
10:37:38;86,1088;0,01833
10:37:39;86,1091;0,01861
10:37:40;86,1127;0,01889
10:37:41;86,1184;0,01917
10:37:42;86,1221;0,01944
10:37:43;86,1238;0,01972
10:37:44;86,1257;0,02000
10:37:45;86,1251;0,02028
10:37:46;86,1271;0,02056
10:37:47;86,1339;0,02083
10:37:48;86,141;0,02111
10:37:49;86,1441;0,02139
10:37:50;86,1459;0,02167
10:37:51;86,1472;0,02194
10:37:52;86,1488;0,02222
10:37:53;86,1539;0,02250
10:37:54;86,1567;0,02278
10:37:55;86,1581;0,02306
10:37:56;86,1591;0,02333
10:37:57;86,1623;0,02361
10:37:58;86,1654;0,02389
10:37:59;86,1691;0,02417
10:38:00;86,1691;0,02444
10:38:01;86,1709;0,02472
10:38:02;86,1704;0,02500
10:38:03;86,1737;0,02528
10:38:04;86,1773;0,02556
10:38:05;86,1816;0,02583
10:38:06;86,1816;0,02611
10:38:07;86,1812;0,02639
10:38:08;86,1837;0,02667
10:38:09;86,1894;0,02694
10:38:10;86,1828;0,02722
10:38:11;86,1851;0,02750
10:38:12;86,1817;0,02778
10:38:13;86,1847;0,02806
10:38:14;86,1815;0,02833
10:38:15;86,1814;0,02861
10:38:16;86,1797;0,02889
10:38:17;86,1782;0,02917
10:38:18;86,18;0,02944
10:38:19;86,1818;0,02972
10:38:20;86,1806;0,03000
10:38:21;86,1833;0,03028
10:38:22;86,1882;0,03056
10:38:23;86,1869;0,03083
10:38:24;86,191;0,03111
10:38:25;86,195;0,03139
10:38:26;86,1984;0,03167
10:38:27;86,1985;0,03194
10:38:28;86,1985;0,03222
10:38:29;86,2017;0,03250
10:38:30;86,2034;0,03278
10:38:31;86,2052;0,03306
10:38:32;86,2072;0,03333
10:38:33;86,207;0,03361
10:38:34;86,2093;0,03389
10:38:35;86,2098;0,03417
10:38:36;86,2094;0,03444
10:38:37;86,2136;0,03472
10:38:38;86,212;0,03500
10:38:39;86,2092;0,03528
10:38:40;86,211;0,03556
10:38:41;86,2114;0,03583
10:38:42;86,2111;0,03611
10:38:43;86,2168;0,03639
10:38:44;86,2204;0,03667
10:38:45;86,2193;0,03694
10:38:46;86,2214;0,03722
10:38:47;86,2263;0,03750
10:38:48;86,2258;0,03778
10:38:49;86,2304;0,03806
10:38:50;86,2306;0,03833
10:38:51;86,2377;0,03861
10:38:52;86,2356;0,03889
10:38:53;86,2357;0,03917
10:38:54;86,2397;0,03944
10:38:55;86,25;0,03972
10:38:56;86,2552;0,04000
10:38:57;86,2525;0,04028
10:38:58;86,2585;0,04056
10:38:59;86,2628;0,04083
10:39:00;86,2639;0,04111
10:39:01;86,2683;0,04139
10:39:02;86,2706;0,04167
10:39:03;86,2768;0,04194
10:39:04;86,2729;0,04222
10:39:05;86,2739;0,04250
10:39:06;86,2601;0,04278
10:39:07;86,2467;0,04306
10:39:08;86,2337;0,04333
10:39:09;86,2281;0,04361
10:39:10;86,2213;0,04389
10:39:11;86,2153;0,04417
10:39:12;86,2116;0,04444
10:39:13;86,2048;0,04472
10:39:14;86,1985;0,04500
10:39:15;86,194;0,04528
10:39:16;86,1899;0,04556
10:39:17;86,1885;0,04583
10:39:18;86,1857;0,04611
10:39:19;86,182;0,04639
10:39:20;86,1821;0,04667
10:39:21;86,1829;0,04694
10:39:22;86,185;0,04722
10:39:23;86,1842;0,04750
10:39:24;86,1814;0,04778
10:39:25;86,1852;0,04806
10:39:26;86,1886;0,04833
10:39:27;86,1847;0,04861
10:39:28;86,1835;0,04889
10:39:29;86,1845;0,04917
10:39:30;86,1849;0,04944
10:39:31;86,1797;0,04972
10:39:32;86,1875;0,05000
10:39:33;86,1862;0,05028
10:39:34;86,1856;0,05056
10:39:35;86,1809;0,05083
10:39:36;86,1833;0,05111
10:39:37;86,1873;0,05139
10:39:38;86,1839;0,05167
10:39:39;86,1909;0,05194
10:39:40;86,1869;0,05222
10:39:41;86,1914;0,05250
10:39:42;86,1968;0,05278
10:39:43;86,2011;0,05306
10:39:44;86,1988;0,05333
10:39:45;86,1984;0,05361
10:39:46;86,2019;0,05389
10:39:47;86,2039;0,05417
10:39:48;86,208;0,05444
10:39:49;86,2089;0,05472
10:39:50;86,2075;0,05500
10:39:51;86,2088;0,05528
10:39:52;86,2091;0,05556
10:39:53;86,2098;0,05583
10:39:54;86,2114;0,05611
10:39:55;86,2169;0,05639
10:39:56;86,2189;0,05667
10:39:57;86,2219;0,05694
10:39:58;86,2244;0,05722
10:39:59;86,2272;0,05750
10:40:00;86,2286;0,05778
10:40:01;86,2278;0,05806
10:40:02;86,228;0,05833
10:40:03;86,2281;0,05861
10:40:04;86,2296;0,05889
10:40:05;86,2324;0,05917
10:40:06;86,2345;0,05944
10:40:07;86,2351;0,05972
10:40:08;86,2378;0,06000
10:40:09;86,2414;0,06028
10:40:10;86,242;0,06056
10:40:11;86,2468;0,06083
10:40:12;86,247;0,06111
10:40:13;86,2472;0,06139
10:40:14;86,2462;0,06167
10:40:15;86,2452;0,06194
10:40:16;86,246;0,06222
10:40:17;86,2465;0,06250
10:40:18;86,2468;0,06278
10:40:19;86,2461;0,06306
10:40:20;86,2455;0,06333
10:40:21;86,2426;0,06361
10:40:22;86,2418;0,06389
10:40:23;86,2388;0,06417
10:40:24;86,2369;0,06444
10:40:25;86,2381;0,06472
10:40:26;86,2396;0,06500
10:40:27;86,2421;0,06528
10:40:28;86,2403;0,06556
10:40:29;86,2368;0,06583
10:40:30;86,2363;0,06611
10:40:31;86,2374;0,06639
10:40:32;86,2359;0,06667
10:40:33;86,2348;0,06694
10:40:34;86,234;0,06722
10:40:35;86,235;0,06750
10:40:36;86,2326;0,06778
10:40:37;86,2315;0,06806
10:40:38;86,2319;0,06833
10:40:39;86,2334;0,06861
10:40:40;86,2342;0,06889
10:40:41;86,2352;0,06917
10:40:42;86,2367;0,06944
10:40:43;86,24;0,06972
10:40:44;86,2394;0,07000
10:40:45;86,2373;0,07028
10:40:46;86,2383;0,07056
10:40:47;86,2395;0,07083
10:40:48;86,2421;0,07111
10:40:49;86,2439;0,07139
10:40:50;86,243;0,07167
10:40:51;86,241;0,07194
10:40:52;86,2428;0,07222
10:40:53;86,2443;0,07250
10:40:54;86,248;0,07278
10:40:55;86,2518;0,07306
10:40:56;86,2518;0,07333
10:40:57;86,2542;0,07361
10:40:58;86,2552;0,07389
10:40:59;86,2577;0,07417
10:41:00;86,2595;0,07444
10:41:01;86,2544;0,07472
10:41:02;86,2619;0,07500
10:41:03;86,258;0,07528
10:41:04;86,2611;0,07556
10:41:05;86,2604;0,07583
10:41:06;86,268;0,07611
10:41:07;86,2628;0,07639
10:41:08;86,2648;0,07667
10:41:09;86,2673;0,07694
10:41:10;86,2714;0,07722
10:41:11;86,2711;0,07750
10:41:12;86,2697;0,07778
10:41:13;86,2715;0,07806
10:41:14;86,2716;0,07833
10:41:15;86,274;0,07861
10:41:16;86,281;0,07889
10:41:17;86,2793;0,07917
10:41:18;86,2781;0,07944
10:41:19;86,279;0,07972
10:41:20;86,2798;0,08000
10:41:21;86,2797;0,08028
10:41:22;86,282;0,08056
10:41:23;86,2847;0,08083
10:41:24;86,2869;0,08111
10:41:25;86,2849;0,08139
10:41:26;86,2871;0,08167
10:41:27;86,2878;0,08194
10:41:28;86,2879;0,08222
10:41:29;86,2886;0,08250
10:41:30;86,2893;0,08278
10:41:31;86,2891;0,08306
10:41:32;86,2884;0,08333
10:41:33;86,2907;0,08361
10:41:34;86,2865;0,08389
10:41:35;86,2872;0,08417
10:41:36;86,2873;0,08444
10:41:37;86,2893;0,08472
10:41:38;86,2876;0,08500
10:41:39;86,2911;0,08528
10:41:40;86,2916;0,08556
10:41:41;86,2851;0,08583
10:41:42;86,2871;0,08611
10:41:43;86,2875;0,08639
10:41:44;86,2843;0,08667
10:41:45;86,2862;0,08694
10:41:46;86,2865;0,08722
10:41:47;86,2881;0,08750
10:41:48;86,2866;0,08778
10:41:49;86,2857;0,08806
10:41:50;86,2857;0,08833
10:41:51;86,2867;0,08861
10:41:52;86,288;0,08889
10:41:53;86,2867;0,08917
10:41:54;86,2876;0,08944
10:41:55;86,2871;0,08972
10:41:56;86,2871;0,09000
10:41:57;86,287;0,09028
10:41:58;86,2868;0,09056
10:41:59;86,2866;0,09083
10:42:00;86,2901;0,09111
10:42:01;86,2916;0,09139
10:42:02;86,2918;0,09167
10:42:03;86,2907;0,09194
10:42:04;86,2895;0,09222
10:42:05;86,2869;0,09250
10:42:06;86,2875;0,09278
10:42:07;86,2863;0,09306
10:42:08;86,2879;0,09333
10:42:09;86,2885;0,09361
10:42:10;86,2904;0,09389
10:42:11;86,2911;0,09417
10:42:12;86,2886;0,09444
10:42:13;86,2859;0,09472
10:42:14;86,2839;0,09500
10:42:15;86,2828;0,09528
10:42:16;86,2845;0,09556
10:42:17;86,2857;0,09583
10:42:18;86,2833;0,09611
10:42:19;86,2867;0,09639
10:42:20;86,2881;0,09667
10:42:21;86,2855;0,09694
10:42:22;86,2847;0,09722
10:42:23;86,2877;0,09750
10:42:24;86,2932;0,09778
10:42:25;86,2933;0,09806
10:42:26;86,2936;0,09833
10:42:27;86,2971;0,09861
10:42:28;86,2956;0,09889
10:42:29;86,2968;0,09917
10:42:30;86,2917;0,09944
10:42:31;86,2927;0,09972
