Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;2,63;2,63;9,94;9,94;0,45;0,45;7,34;27,79;35,13;79,11;172,77;36,09;16,86;5,00;23,56
2;2,47;5,09;7,37;17,31;0,44;0,89;6,90;20,59;27,49;74,90;177,46;44,55;16,00;5,00;19,75
3;2,28;7,37;6,01;23,32;0,42;1,31;6,38;16,80;23,18;72,49;184,08;50,65;15,37;5,00;17,59
4;2,09;9,47;5,18;28,49;0,40;1,71;5,85;14,47;20,32;71,23;191,89;55,21;14,92;5,00;16,16
5;1,93;11,39;4,70;33,19;0,39;2,10;5,38;13,13;18,52;70,93;200,05;58,15;14,56;5,00;15,26
6;1,76;13,16;4,33;37,52;0,37;2,47;4,93;12,11;17,04;71,05;208,39;60,32;14,25;5,00;14,52
7;1,62;14,78;4,06;41,58;0,35;2,82;4,54;11,35;15,89;71,43;216,86;61,96;13,97;5,00;13,95
8;1,49;16,28;3,84;45,42;0,34;3,16;4,18;10,72;14,90;71,95;225,76;63,31;13,71;5,00;13,45
9;1,38;17,66;3,65;49,07;0,32;3,48;3,86;10,21;14,07;72,55;234,95;64,48;13,46;5,00;13,03
10;1,27;18,93;3,47;52,54;0,31;3,79;3,55;9,70;13,25;73,22;244,68;65,52;13,23;5,00;12,63
11;1,17;20,10;3,32;55,86;0,30;4,09;3,27;9,28;12,55;73,92;257,40;67,12;13,00;5,00;12,28
12;1,08;21,18;3,18;59,04;0,30;4,39;3,03;8,89;11,92;74,60;275,68;70,02;12,78;5,00;11,96
13;1,01;22,19;3,06;62,11;0,30;4,69;2,82;8,57;11,39;75,23;292,91;72,55;12,58;5,00;11,69
14;0,94;23,13;2,94;65,05;0,29;4,98;2,62;8,22;10,84;75,85;309,12;74,65;12,38;5,00;11,42
15;0,87;24,00;2,84;67,89;0,28;5,26;2,44;7,94;10,38;76,46;324,39;76,36;12,19;5,00;11,19
16;0,82;24,82;2,75;70,63;0,28;5,54;2,29;7,68;9,97;77,06;338,72;77,71;12,01;5,00;10,98
